"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 15 23:00:25 GMT 2022","Thu Sep 15 23:00:26 GMT 2022","203","","","","","","GET user info",""
"passed","Thu Sep 15 23:00:34 GMT 2022","Thu Sep 15 23:00:40 GMT 2022","6587","","","","","","Empty email validation is working on Contact Us page (""Peter Parker"")",""
"passed","Thu Sep 15 23:00:25 GMT 2022","Thu Sep 15 23:00:33 GMT 2022","8011","","","","","","Empty email validation is working on Contact Us page (""John Doe"")",""
"failed","Thu Sep 15 23:00:25 GMT 2022","Thu Sep 15 23:00:25 GMT 2022","203","","","","","","GET organization info",""
"failed","Thu Sep 15 23:00:26 GMT 2022","Thu Sep 15 23:00:26 GMT 2022","201","","","","","","GET users info",""
