"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jan 23 16:29:47 GMT 2024","Tue Jan 23 16:29:53 GMT 2024","6074","","","","","","Empty email validation is working on Contact Us page (""John Doe"")",""
"passed","Tue Jan 23 16:29:47 GMT 2024","Tue Jan 23 16:29:47 GMT 2024","112","","","","","","GET user info",""
"passed","Tue Jan 23 16:30:01 GMT 2024","Tue Jan 23 16:30:03 GMT 2024","2449","","Main Page Demo Test","","MainDemoTest","TC0001_CheckTheCookieForm","TC0001_CheckTheCookieForm","TC-0001 Check the cookie form
"
"passed","Tue Jan 23 16:29:46 GMT 2024","Tue Jan 23 16:29:54 GMT 2024","8172","","Demo Tests","","DemoTest","TC0002_CheckThePossibilityToChangeTheLanguageFromGermanToEnglish","TC0002_CheckThePossibilityToChangeTheLanguageFromGermanToEnglish","TC-0002 Check all navigation panel elements are present
"
"passed","Tue Jan 23 16:29:46 GMT 2024","Tue Jan 23 16:29:46 GMT 2024","191","","CustomImageComparatorTest","","CustomImageComparatorTest","TC0006_Compare2ImagesWhenBothImagesAreTheSame","TC0006_Compare2ImagesWhenBothImagesAreTheSame","TC-0006 Compare 2 images when both images are the same
"
"passed","Tue Jan 23 16:29:46 GMT 2024","Tue Jan 23 16:29:47 GMT 2024","1292","","","","","","GET organization info",""
"failed","Tue Jan 23 16:29:54 GMT 2024","Tue Jan 23 16:29:55 GMT 2024","1876","","","","","","Empty email validation is working on Contact Us page (""Peter Parker"")",""
"passed","Tue Jan 23 16:29:47 GMT 2024","Tue Jan 23 16:29:48 GMT 2024","235","","","","","","GET users info",""
"passed","Tue Jan 23 16:29:54 GMT 2024","Tue Jan 23 16:29:58 GMT 2024","3694","","Demo Tests","","DemoTest","TC0003_CheckHowTheContactUsFormWorksWithAnIncorrectEmail","TC0003_CheckHowTheContactUsFormWorksWithAnIncorrectEmail","TC-0003 Check how the Contact Us form works with an incorrect email
"
"passed","Tue Jan 23 16:29:58 GMT 2024","Tue Jan 23 16:30:01 GMT 2024","2811","","Demo Tests","","DemoTest","TC0004_CheckTheFooterFormIsCorrectWithVisualTesting","TC0004_CheckTheFooterFormIsCorrectWithVisualTesting","TC-0004 Check the footer form is correct with visual testing
"
"passed","Tue Jan 23 16:29:45 GMT 2024","Tue Jan 23 16:29:46 GMT 2024","419","","CustomImageComparatorTest","","CustomImageComparatorTest","TC0005_Compare2ImagesOneOfWhichIsDifferent","TC0005_Compare2ImagesOneOfWhichIsDifferent","TC-0005 Compare 2 images one of which is different
"
