"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 14 20:28:04 GMT 2022","Wed Sep 14 20:28:05 GMT 2022","572","","","","","","GET user info",""
"passed","Wed Sep 14 20:28:15 GMT 2022","Wed Sep 14 20:28:22 GMT 2022","7316","","","","","","Empty email validation is working on Contact Us page (""Peter Parker"")",""
"passed","Wed Sep 14 20:28:04 GMT 2022","Wed Sep 14 20:28:14 GMT 2022","9810","","","","","","Empty email validation is working on Contact Us page (""John Doe"")",""
