"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 09 12:39:35 GMT 2022","Fri Dec 09 12:39:44 GMT 2022","9427","","","","","","Empty email validation is working on Contact Us page (""John Doe"")",""
"passed","Fri Dec 09 12:39:52 GMT 2022","Fri Dec 09 12:39:55 GMT 2022","2917","","Main Page Demo Test","","MainDemoTest","TC0001_CheckTheCookieForm","TC0001_CheckTheCookieForm","TC-0001 Check the cookie form
"
"passed","Fri Dec 09 12:39:42 GMT 2022","Fri Dec 09 12:39:48 GMT 2022","6114","","Demo Tests","","DemoTest","TC0003_CheckHowTheContactUsFormWorksWithAnIncorrectEmail","TC0003_CheckHowTheContactUsFormWorksWithAnIncorrectEmail","TC-0003 Check how the Contact Us form works with an incorrect email
"
"passed","Fri Dec 09 12:39:48 GMT 2022","Fri Dec 09 12:39:52 GMT 2022","3639","","Demo Tests","","DemoTest","TC0004_CheckTheFooterFormIsCorrectWithVisualTesting","TC0004_CheckTheFooterFormIsCorrectWithVisualTesting","TC-0004 Check the footer form is correct with visual testing
"
"passed","Fri Dec 09 12:39:36 GMT 2022","Fri Dec 09 12:39:36 GMT 2022","218","","","","","","GET users info",""
"passed","Fri Dec 09 12:39:36 GMT 2022","Fri Dec 09 12:39:36 GMT 2022","261","","CustomImageComparatorTest","","CustomImageComparatorTest","TC0006_Compare2ImagesWhenBothImagesAreTheSame","TC0006_Compare2ImagesWhenBothImagesAreTheSame","TC-0006 Compare 2 images when both images are the same
"
"passed","Fri Dec 09 12:39:35 GMT 2022","Fri Dec 09 12:39:35 GMT 2022","645","","","","","","GET organization info",""
"passed","Fri Dec 09 12:39:45 GMT 2022","Fri Dec 09 12:39:52 GMT 2022","7536","","","","","","Empty email validation is working on Contact Us page (""Peter Parker"")",""
"passed","Fri Dec 09 12:39:35 GMT 2022","Fri Dec 09 12:39:36 GMT 2022","110","","","","","","GET user info",""
"passed","Fri Dec 09 12:39:35 GMT 2022","Fri Dec 09 12:39:36 GMT 2022","903","","CustomImageComparatorTest","","CustomImageComparatorTest","TC0005_Compare2ImagesOneOfWhichIsDifferent","TC0005_Compare2ImagesOneOfWhichIsDifferent","TC-0005 Compare 2 images one of which is different
"
"passed","Fri Dec 09 12:39:36 GMT 2022","Fri Dec 09 12:39:42 GMT 2022","5681","","Demo Tests","","DemoTest","TC0002_CheckThePossibilityToChangeTheLanguageFromGermanToEnglish","TC0002_CheckThePossibilityToChangeTheLanguageFromGermanToEnglish","TC-0002 Check all navigation panel elements are present
"
