"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 15 14:07:05 GMT 2023","Wed Mar 15 14:07:11 GMT 2023","5186","","Demo Tests","","DemoTest","TC0003_CheckHowTheContactUsFormWorksWithAnIncorrectEmail","TC0003_CheckHowTheContactUsFormWorksWithAnIncorrectEmail","TC-0003 Check how the Contact Us form works with an incorrect email
"
"failed","Wed Mar 15 14:07:11 GMT 2023","Wed Mar 15 14:07:14 GMT 2023","3870","","Demo Tests","","DemoTest","TC0004_CheckTheFooterFormIsCorrectWithVisualTesting","TC0004_CheckTheFooterFormIsCorrectWithVisualTesting","TC-0004 Check the footer form is correct with visual testing
"
"passed","Wed Mar 15 14:06:59 GMT 2023","Wed Mar 15 14:06:59 GMT 2023","233","","CustomImageComparatorTest","","CustomImageComparatorTest","TC0006_Compare2ImagesWhenBothImagesAreTheSame","TC0006_Compare2ImagesWhenBothImagesAreTheSame","TC-0006 Compare 2 images when both images are the same
"
"passed","Wed Mar 15 14:06:58 GMT 2023","Wed Mar 15 14:07:09 GMT 2023","10899","","","","","","Empty email validation is working on Contact Us page (""John Doe"")",""
"passed","Wed Mar 15 14:07:09 GMT 2023","Wed Mar 15 14:07:17 GMT 2023","8043","","","","","","Empty email validation is working on Contact Us page (""Peter Parker"")",""
"passed","Wed Mar 15 14:07:14 GMT 2023","Wed Mar 15 14:07:18 GMT 2023","3032","","Main Page Demo Test","","MainDemoTest","TC0001_CheckTheCookieForm","TC0001_CheckTheCookieForm","TC-0001 Check the cookie form
"
"passed","Wed Mar 15 14:06:59 GMT 2023","Wed Mar 15 14:06:59 GMT 2023","184","","","","","","GET user info",""
"passed","Wed Mar 15 14:06:59 GMT 2023","Wed Mar 15 14:06:59 GMT 2023","353","","","","","","GET users info",""
"passed","Wed Mar 15 14:06:58 GMT 2023","Wed Mar 15 14:06:59 GMT 2023","418","","CustomImageComparatorTest","","CustomImageComparatorTest","TC0005_Compare2ImagesOneOfWhichIsDifferent","TC0005_Compare2ImagesOneOfWhichIsDifferent","TC-0005 Compare 2 images one of which is different
"
"passed","Wed Mar 15 14:06:59 GMT 2023","Wed Mar 15 14:07:05 GMT 2023","6218","","Demo Tests","","DemoTest","TC0002_CheckThePossibilityToChangeTheLanguageFromGermanToEnglish","TC0002_CheckThePossibilityToChangeTheLanguageFromGermanToEnglish","TC-0002 Check all navigation panel elements are present
"
"passed","Wed Mar 15 14:06:58 GMT 2023","Wed Mar 15 14:06:59 GMT 2023","693","","","","","","GET organization info",""
